StructChapterEventPointers 0,OpeningEventDefinitions,TurnEventDefinitions,TalkEventDefinitions,LocationEventDefinitions,BeforeActionEventDefinitions,ShopEventDefinitions,BattleEventDefinitions,EndingEvent,AfterActionEventDefinitions,PrepGroups
Chapter11,eventChapter11Events._OpeningEventDefinitions,eventChapter11Events._TurnEventDefinitions,eventChapter11Events._TalkEventDefinitions,eventChapter11Events._LocationEventDefinitions,eventChapter11Events._BeforeActionEventDefinitions,eventChapter11Events._ShopEventDefinitions,eventChapter11Events._BattleEventDefinitions,eventChapter11Events._EndingEvent,eventChapter11Events._AfterActionEventDefinitions,eventChapter11Events._PrepGroups
Chapter11x,eventChapter11xEvents._OpeningEventDefinitions,eventChapter11xEvents._TurnEventDefinitions,eventChapter11xEvents._TalkEventDefinitions,eventChapter11xEvents._LocationEventDefinitions,eventChapter11xEvents._BeforeActionEventDefinitions,eventChapter11xEvents._ShopEventDefinitions,eventChapter11xEvents._BattleEventDefinitions,eventChapter11xEvents._EndingEvent,eventChapter11xEvents._AfterActionEventDefinitions,eventChapter11xEvents._PrepGroups
Chapter12,eventChapter12Events._OpeningEventDefinitions,eventChapter12Events._TurnEventDefinitions,eventChapter12Events._TalkEventDefinitions,eventChapter12Events._LocationEventDefinitions,eventChapter12Events._BeforeActionEventDefinitions,eventChapter12Events._ShopEventDefinitions,eventChapter12Events._BattleEventDefinitions,eventChapter12Events._EndingEvent,eventChapter12Events._AfterActionEventDefinitions,eventChapter12Events._PrepGroups
Chapter12x,eventChapter12xEvents._OpeningEventDefinitions,eventChapter12xEvents._TurnEventDefinitions,eventChapter12xEvents._TalkEventDefinitions,eventChapter12xEvents._LocationEventDefinitions,eventChapter12xEvents._BeforeActionEventDefinitions,eventChapter12xEvents._ShopEventDefinitions,eventChapter12xEvents._BattleEventDefinitions,eventChapter12xEvents._EndingEvent,eventChapter12xEvents._AfterActionEventDefinitions,eventChapter12xEvents._PrepGroups
Chapter13,eventChapter13Events._OpeningEventDefinitions,eventChapter13Events._TurnEventDefinitions,eventChapter13Events._TalkEventDefinitions,eventChapter13Events._LocationEventDefinitions,eventChapter13Events._BeforeActionEventDefinitions,eventChapter13Events._ShopEventDefinitions,eventChapter13Events._BattleEventDefinitions,eventChapter13Events._EndingEvent,eventChapter13Events._AfterActionEventDefinitions,eventChapter13Events._PrepGroups
Chapter14,eventChapter14Events._OpeningEventDefinitions,eventChapter14Events._TurnEventDefinitions,eventChapter14Events._TalkEventDefinitions,eventChapter14Events._LocationEventDefinitions,eventChapter14Events._BeforeActionEventDefinitions,eventChapter14Events._ShopEventDefinitions,eventChapter14Events._BattleEventDefinitions,eventChapter14Events._EndingEvent,eventChapter14Events._AfterActionEventDefinitions,eventChapter14Events._PrepGroups
Chapter14x,eventChapter14xEvents._OpeningEventDefinitions,eventChapter14xEvents._TurnEventDefinitions,eventChapter14xEvents._TalkEventDefinitions,eventChapter14xEvents._LocationEventDefinitions,eventChapter14xEvents._BeforeActionEventDefinitions,eventChapter14xEvents._ShopEventDefinitions,eventChapter14xEvents._BattleEventDefinitions,eventChapter14xEvents._EndingEvent,eventChapter14xEvents._AfterActionEventDefinitions,eventChapter14xEvents._PrepGroups
Chapter15,eventChapter15Events._OpeningEventDefinitions,eventChapter15Events._TurnEventDefinitions,eventChapter15Events._TalkEventDefinitions,eventChapter15Events._LocationEventDefinitions,eventChapter15Events._BeforeActionEventDefinitions,eventChapter15Events._ShopEventDefinitions,eventChapter15Events._BattleEventDefinitions,eventChapter15Events._EndingEvent,eventChapter15Events._AfterActionEventDefinitions,eventChapter15Events._PrepGroups
Chapter16A,eventChapter16AEvents._OpeningEventDefinitions,eventChapter16AEvents._TurnEventDefinitions,eventChapter16AEvents._TalkEventDefinitions,eventChapter16AEvents._LocationEventDefinitions,eventChapter16AEvents._BeforeActionEventDefinitions,eventChapter16AEvents._ShopEventDefinitions,eventChapter16AEvents._BattleEventDefinitions,eventChapter16AEvents._EndingEvent,eventChapter16AEvents._AfterActionEventDefinitions,eventChapter16AEvents._PrepGroups
Chapter17A,eventChapter17AEvents._OpeningEventDefinitions,eventChapter17AEvents._TurnEventDefinitions,eventChapter17AEvents._TalkEventDefinitions,eventChapter17AEvents._LocationEventDefinitions,eventChapter17AEvents._BeforeActionEventDefinitions,eventChapter17AEvents._ShopEventDefinitions,eventChapter17AEvents._BattleEventDefinitions,eventChapter17AEvents._EndingEvent,eventChapter17AEvents._AfterActionEventDefinitions,eventChapter17AEvents._PrepGroups
Chapter16B,eventChapter16BEvents._OpeningEventDefinitions,eventChapter16BEvents._TurnEventDefinitions,eventChapter16BEvents._TalkEventDefinitions,eventChapter16BEvents._LocationEventDefinitions,eventChapter16BEvents._BeforeActionEventDefinitions,eventChapter16BEvents._ShopEventDefinitions,eventChapter16BEvents._BattleEventDefinitions,eventChapter16BEvents._EndingEvent,eventChapter16BEvents._AfterActionEventDefinitions,eventChapter16BEvents._PrepGroups
Chapter17B,eventChapter17BEvents._OpeningEventDefinitions,eventChapter17BEvents._TurnEventDefinitions,eventChapter17BEvents._TalkEventDefinitions,eventChapter17BEvents._LocationEventDefinitions,eventChapter17BEvents._BeforeActionEventDefinitions,eventChapter17BEvents._ShopEventDefinitions,eventChapter17BEvents._BattleEventDefinitions,eventChapter17BEvents._EndingEvent,eventChapter17BEvents._AfterActionEventDefinitions,eventChapter17BEvents._PrepGroups
Chapter18,eventChapter18Events._OpeningEventDefinitions,eventChapter18Events._TurnEventDefinitions,eventChapter18Events._TalkEventDefinitions,eventChapter18Events._LocationEventDefinitions,eventChapter18Events._BeforeActionEventDefinitions,eventChapter18Events._ShopEventDefinitions,eventChapter18Events._BattleEventDefinitions,eventChapter18Events._EndingEvent,eventChapter18Events._AfterActionEventDefinitions,eventChapter18Events._PrepGroups
Chapter19,eventChapter19Events._OpeningEventDefinitions,eventChapter19Events._TurnEventDefinitions,eventChapter19Events._TalkEventDefinitions,eventChapter19Events._LocationEventDefinitions,eventChapter19Events._BeforeActionEventDefinitions,eventChapter19Events._ShopEventDefinitions,eventChapter19Events._BattleEventDefinitions,eventChapter19Events._EndingEvent,eventChapter19Events._AfterActionEventDefinitions,eventChapter19Events._PrepGroups
Chapter20,eventChapter20Events._OpeningEventDefinitions,eventChapter20Events._TurnEventDefinitions,eventChapter20Events._TalkEventDefinitions,eventChapter20Events._LocationEventDefinitions,eventChapter20Events._BeforeActionEventDefinitions,eventChapter20Events._ShopEventDefinitions,eventChapter20Events._BattleEventDefinitions,eventChapter20Events._EndingEvent,eventChapter20Events._AfterActionEventDefinitions,eventChapter20Events._PrepGroups
Chapter21,eventChapter21Events._OpeningEventDefinitions,eventChapter21Events._TurnEventDefinitions,eventChapter21Events._TalkEventDefinitions,eventChapter21Events._LocationEventDefinitions,eventChapter21Events._BeforeActionEventDefinitions,eventChapter21Events._ShopEventDefinitions,eventChapter21Events._BattleEventDefinitions,eventChapter21Events._EndingEvent,eventChapter21Events._AfterActionEventDefinitions,eventChapter21Events._PrepGroups
Chapter21x,eventChapter21xEvents._OpeningEventDefinitions,eventChapter21xEvents._TurnEventDefinitions,eventChapter21xEvents._TalkEventDefinitions,eventChapter21xEvents._LocationEventDefinitions,eventChapter21xEvents._BeforeActionEventDefinitions,eventChapter21xEvents._ShopEventDefinitions,eventChapter21xEvents._BattleEventDefinitions,eventChapter21xEvents._EndingEvent,eventChapter21xEvents._AfterActionEventDefinitions,eventChapter21xEvents._PrepGroups
Chapter22,eventChapter22Events._OpeningEventDefinitions,eventChapter22Events._TurnEventDefinitions,eventChapter22Events._TalkEventDefinitions,eventChapter22Events._LocationEventDefinitions,eventChapter22Events._BeforeActionEventDefinitions,eventChapter22Events._ShopEventDefinitions,eventChapter22Events._BattleEventDefinitions,eventChapter22Events._EndingEvent,eventChapter22Events._AfterActionEventDefinitions,eventChapter22Events._PrepGroups
Chapter23,eventChapter23Events._OpeningEventDefinitions,eventChapter23Events._TurnEventDefinitions,eventChapter23Events._TalkEventDefinitions,eventChapter23Events._LocationEventDefinitions,eventChapter23Events._BeforeActionEventDefinitions,eventChapter23Events._ShopEventDefinitions,eventChapter23Events._BattleEventDefinitions,eventChapter23Events._EndingEvent,eventChapter23Events._AfterActionEventDefinitions,eventChapter23Events._PrepGroups
Chapter24,eventChapter24Events._OpeningEventDefinitions,eventChapter24Events._TurnEventDefinitions,eventChapter24Events._TalkEventDefinitions,eventChapter24Events._LocationEventDefinitions,eventChapter24Events._BeforeActionEventDefinitions,eventChapter24Events._ShopEventDefinitions,eventChapter24Events._BattleEventDefinitions,eventChapter24Events._EndingEvent,eventChapter24Events._AfterActionEventDefinitions,eventChapter24Events._PrepGroups
Chapter24x,eventChapter24xEvents._OpeningEventDefinitions,eventChapter24xEvents._TurnEventDefinitions,eventChapter24xEvents._TalkEventDefinitions,eventChapter24xEvents._LocationEventDefinitions,eventChapter24xEvents._BeforeActionEventDefinitions,eventChapter24xEvents._ShopEventDefinitions,eventChapter24xEvents._BattleEventDefinitions,eventChapter24xEvents._EndingEvent,eventChapter24xEvents._AfterActionEventDefinitions,eventChapter24xEvents._PrepGroups
ChapterFinal,eventChapterFinalEvents._OpeningEventDefinitions,eventChapterFinalEvents._TurnEventDefinitions,eventChapterFinalEvents._TalkEventDefinitions,eventChapterFinalEvents._LocationEventDefinitions,eventChapterFinalEvents._BeforeActionEventDefinitions,eventChapterFinalEvents._ShopEventDefinitions,eventChapterFinalEvents._BattleEventDefinitions,eventChapterFinalEvents._EndingEvent,eventChapterFinalEvents._AfterActionEventDefinitions,eventChapterFinalEvents._PrepGroups
ChapterUnknown,eventChapterFinalEvents._OpeningEventDefinitions,eventChapterFinalEvents._TurnEventDefinitions,eventChapterFinalEvents._TalkEventDefinitions,eventChapterFinalEvents._LocationEventDefinitions,eventChapterFinalEvents._BeforeActionEventDefinitions,eventChapterFinalEvents._ShopEventDefinitions,eventChapterFinalEvents._BattleEventDefinitions,eventChapterFinalEvents._EndingEvent,eventChapterFinalEvents._AfterActionEventDefinitions,eventChapterFinalEvents._PrepGroups
