structBattleAnimationScriptTable 0,BA_AnimationScript_Index
BA_General_Emperor_Baron_Bow_Script,BA_AnimScript_General_Emperor_Baron_Bow
BA_Armors_Staff_Script,BA_AnimScript_Armors_Staff
BA_Armors_Magic_Script,BA_AnimScript_Armors_Magic
BA_UnknownScript2B,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript2C,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript2D,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript2E,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_ArmoredBow_Script,BA_AnimScript_ArmoredBow
BA_UnknownScript30,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_BrigandTypes_Axe_Script,BA_AnimScript_BrigandTypes_Axe
BA_BrigandTypes_ThrownAxe_Script,BA_AnimScript_BrigandTypes_ThrownAxe
BA_BrigandTypes_Bow_Script,BA_AnimScript_BrigandTypes_Bow
BA_DismountedCavalry_JuniorLord_Sword_Script,BA_AnimScript_DismountedCavalry_LordClasses_Sword
BA_DismountedMageKnightM_Sword_Script,BA_AnimScript_DismountedMageKnight_Sword
BA_UnknownScript36,BA_AnimScript_Caster_Staff
BA_DismountedMageKnightM_Magic_Script,BA_AnimScript_Caster_Magic
BA_Lord_Prince_DismountedKnightLord_Sword_Script,BA_AnimScript_DismountedCavalry_LordClasses_Sword
BA_Dismounted_PaladinF_MasterKnightF_Sword_Script,BA_AnimScript_DismountedCavalry_LordClasses_Sword
BA_DismountedCavalry_Staff_Script,BA_AnimScript_Caster_Staff
BA_DismountedMageKnightF_Sword_Script,BA_AnimScript_DismountedMageKnight_Sword
BA_Sage_DismountedMageKnightF_Staff_Script,BA_AnimScript_Caster_Staff
BA_Sage_DismountedMageKnightF_Magic_Script,BA_AnimScript_Caster_Magic
BA_BaronGlitched_Staff_Script,BA_AnimScript_Caster_Staff
BA_BaronGlitched_Magic_Script,BA_AnimScript_Caster_Magic
BA_UnknownScript40,BA_AnimScript_Myrmidon_HeroM_DismountedSwordKnight
BA_Priest_Staff_Script,BA_AnimScript_Caster_Staff
BA_Mage_Magic_Script,BA_AnimScript_Caster_Magic
BA_LoptrianMage_Magic_Script,BA_AnimScript_Caster_Magic
BA_ThunderMage_Magic_Script,BA_AnimScript_Caster_Magic
BA_Wind_Magic_Script,BA_AnimScript_Caster_Magic
BA_HighPriest_LoptrianMageM_Staff_Script,BA_AnimScript_Caster_Staff
BA_HighPriest_Magic_Script,BA_AnimScript_Caster_Magic
BA_Bishop_Staff_Script,BA_AnimScript_Caster_Staff
BA_Bishop_Magic_Script,BA_AnimScript_Caster_Magic
BA_UnknownScript4A,BA_AnimScript_Caster_Staff
BA_UnknownScript4B,BA_AnimScript_Caster_Magic
BA_UnknownScript4C,BA_AnimScript_DismountedMageKnight_Sword
BA_Bard_Magic_Script,BA_AnimScript_Caster_Magic
BA_Cleric_Staff_Script,BA_AnimScript_Caster_Staff
BA_Cleric_Magic_Script,BA_AnimScript_Caster_Magic
BA_Sorcerer_Staff_Script,BA_AnimScript_Caster_Staff
BA_Sorcerer_Magic_Script,BA_AnimScript_Caster_Magic
BA_DarkBishop_Staff_Script,BA_AnimScript_Caster_Staff
BA_DarkBishop_Magic_Script,BA_AnimScript_Caster_Magic
BA_Thief_Rogue_Dancer_Sword_Script,BA_AnimScript_Thief_Rogue_Dancer_Sword
BA_UnknownScript55,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript56,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_Ballisticians_Script,BA_AnimScript_Ballisticians
BA_DarkPrince_Script,BA_AnimScript_DarkPrince
BA_UnknownScript59,BA_AnimScript_Unknown2E
BA_Fighter_Hero_HeroFe4M_Axe_Script,BA_AnimScript_Fighter_Hero_HeroFe4M_Axe
BA_Fighter_Hero_HeroFe4M_ThrownAxe_Script,BA_AnimScript_Fighter_Hero_HeroFe4M_ThrownAxe
BA_Soldier_Lance_Script,BA_AnimScript_Soldier_Lance
BA_Soldier_ThrownLance_Script,BA_AnimScript_Soldier_ThrownLance
BA_UnknownScript5E,BA_AnimScript_Unknown02
