structBattleAnimationScriptData 0,ScriptOffset,SubsheetOffset
BA_AnimScript_BaseCavalry_Lance,aBAScript_BaseCavalry_Lance,aBASubsheet_BaseCavalry_Lance_ThrownLance
BA_AnimScript_BaseCavalry_ThrownLance,aBAScript_BaseCavalry_ThrownLance,aBASubsheet_BaseCavalry_Lance_ThrownLance
BA_AnimScript_BaseCavalry_ThrownAxe,aBAScript_BaseCavalry_ThrownAxe,aBASubsheet_BaseCavalry_Sword_Axe_ThrowingAxe_Staff
BA_AnimScript_Cavalry_Bow,aBAScript_Cavalry_Bow,aBASubsheet_Cavalry_Bow
BA_AnimScript_BaseCavalry_Staff,aBAScript_BaseCavalry_Staff,aBASubsheet_BaseCavalry_Sword_Axe_ThrowingAxe_Staff
BA_AnimScript_PromotedCavalry_Sword_Axe,aBAScript_PromotedCavalry_Sword_Axe,aBASubsheet_PromotedCavalry
BA_AnimScript_PromotedCavalry_Lance,aBAScript_PromotedCavalry_Lance,aBASubsheet_PromotedCavalry
BA_AnimScript_PromotedCavalry_ThrownLance,aBAScript_PromotedCavalry_ThrownLance,aBASubsheet_PromotedCavalry
BA_AnimScript_PromotedCavalry_ThrownAxe,aBAScript_PromotedCavalry_ThrownAxe,aBASubsheet_PromotedCavalry
BA_AnimScript_PromotedCavalry_Staff,aBAScript_PromotedCavalry_Staff,aBASubsheet_PromotedCavalry
BA_AnimScript_PromotedCavalry_Magic,aBAScript_PromotedCavalry_Magic,aBASubsheet_PromotedCavalry
BA_AnimScript_Pegasi_Sword,aBAScript_Pegasi_Sword,aBASubsheet_Pegasi
BA_AnimScript_Pegasi_Lance,aBAScript_Pegasi_Lance,aBASubsheet_Pegasi
BA_AnimScript_Pegasi_ThrownLance,aBAScript_Pegasi_ThrownLance,aBASubsheet_Pegasi
BA_AnimScript_Pegasi_Staff,aBAScript_Pegasi_Staff,aBASubsheet_Pegasi
BA_AnimScript_Draco_Sword,aBAScript_Draco_Sword,aBASubsheet_Draco_Sword
BA_AnimScript_Draco_Lance,aBAScript_Draco_Lance,aBASubsheet_Draco_Lance
BA_AnimScript_Draco_ThrownLance,aBAScript_Draco_ThrownLance,aBASubsheet_Draco_ThrownLance
BA_AnimScript_Armors_Sword_Axe,aBAScript_Armors_Sword_Axe,aBASubsheet_Armors_Sword_Axe_ThrownAxe_Staff_Magic
BA_AnimScript_Armors_Lance,aBAScript_Armors_Lance,aBASubsheet_Armors_Lance
BA_AnimScript_Armors_ThrownLance,aBAScript_Armors_ThrownLance,aBASubsheet_Armors_ThrownLance
BA_AnimScript_Armors_ThrownAxe,aBAScript_Armors_ThrownAxe,aBASubsheet_Armors_Sword_Axe_ThrownAxe_Staff_Magic
BA_AnimScript_General_Emperor_Baron_Bow,aBAScript_General_Emperor_Baron_Bow,aBASubsheet_General_Emperor_Baron_Bow
BA_AnimScript_Armors_Staff,aBAScript_Armors_Staff,aBASubsheet_Armors_Sword_Axe_ThrownAxe_Staff_Magic
BA_AnimScript_Armors_Magic,aBAScript_Armors_Magic,aBASubsheet_Armors_Sword_Axe_ThrownAxe_Staff_Magic
BA_AnimScript_ArmoredBow,aBAScript_ArmoredBow,aBASubsheet_ArmoredBow
BA_AnimScript_BrigandTypes_Axe,aBAScript_BrigandTypes_Axe,aBASubsheet_BrigandTypes_Axe_ThrownAxe
BA_AnimScript_BrigandTypes_ThrownAxe,aBAScript_BrigandTypes_ThrownAxe,aBASubsheet_BrigandTypes_Axe_ThrownAxe
BA_AnimScript_BrigandTypes_Bow,aBAScript_BrigandTypes_Bow,aBASubsheet_BrigandTypes_Bow
BA_AnimScript_DismountedMageKnight_Sword,aBAScript_DismountedMageKnight_Sword,aBASubsheet_DismountedMageKnight_Sword
BA_AnimScript_Ballisticians,aBAScript_Ballisticians,aBASubsheet_Ballisticians
BA_AnimScript_DarkPrince,aBAScript_DarkPrince,aBASubsheet_DarkPrince
BA_AnimScript_Unknown2E,aBAScript_Unknown2E,aBASubsheet_Unknown2E
BA_AnimScript_DismountedCavalry_LordClasses_Sword,aBAScript_DismountedCavalry_LordClasses_Sword,aBASubsheet_DismountedCavalry_LordClasses_Sword
